id товара,наименование,регулярная цена,бренд
1043143,"N&D PRIME сухой корм для кошек, с ягненком и черникой, 5кг",9229,Farmina
1043144,N&D PRIME CAT LAMB & BLUEBERRY ADULT 10KG,10589,Farmina
1043145,"N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 300г",939,Farmina
1043146,"N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 1,5кг",3683,Farmina
1043147,"N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 5кг",9235,Farmina
1043148,N&D PRIME CAT NEUTERED CHICKEN & POMEGRANATE ADULT 10KG,10589,Farmina
1043172,"Vet Life Gastrointestinal Сухой диетический корм для кошек при заболеваниях ЖКТ, с курицей, 400 гр.",1079,Farmina
1043181,"Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг",4335,Farmina
1046529,"Vet Life Cat Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ с курицей, 5 кг",5999,Farmina
1050317,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 300гр",1035,Farmina
1050318,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 1,5кг",3955,Farmina
1050319,"OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 5кг",6795,Farmina
1053813,"Indoor Сухой корм для кошек, с ягненком, 400 гр.",599,Grandin
1051884,"Indoor Сухой корм для кошек, с ягненком, 1,5 кг",1799,Grandin
1053528,"Adult Care Hypoallergenic Сухой корм гипоаллергенный для взрослых кошек, с рыбой, 1,5 кг",1979,Ownat
1053529,"Adult Care Hypoallergenic Сухой корм гипоаллергенный для взрослых кошек, с рыбой, 3 кг",2762,Ownat
1054521,"Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 400 гр.",349,Wellkiss
1054522,"Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 1,5 кг",1029,Wellkiss
1054523,"Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 8 кг",4299,Wellkiss
1054526,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 400 гр.",349,Wellkiss
1054527,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 1,5 кг",1029,Wellkiss
1054528,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 8 кг",4299,Wellkiss
1054702,"Корм сухой для котят, с курицей и индейкой, 400 гр.",469,Mealfeel
1054703,"Корм сухой для котят, с курицей и индейкой, 1,5 кг",1579,Mealfeel
1054706,"Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 400 гр.",469,Mealfeel
1054707,"Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг",1579,Mealfeel
1054708,"Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 7,5 кг",7139,Mealfeel
1054709,"Корм сухой для стерилизованных кошек, с лососем, 400 гр.",469,Mealfeel
1054710,"Корм сухой для стерилизованных кошек, с лососем, 1,5 кг",1579,Mealfeel
1054711,"Корм сухой для стерилизованных кошек, с ягненком, 400 гр.",469,Mealfeel
1054712,"Корм сухой для стерилизованных кошек, с ягненком, 1,5 кг",1579,Mealfeel
1054713,"Корм сухой для стерилизованных кошек, с ягненком, 3 кг",2999,Mealfeel
1054714,"Корм сухой для стерилизованных кошек, с ягненком, 7,5 кг",7139,Mealfeel
1055453,"Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 400 гр.",439,Ownat
1050752,"Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 1.5 кг",1099,Ownat
1050751,"Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 4 кг",2529,Ownat
1055454,"Classic Daily Care Сухой корм для кошек, с курицей, 400 гр.",429,Ownat
1050748,"Classic Сухой корм для кошек Ежедневная забота, с курицей, 1.5 кг",989,Ownat
1055455,"Adult Classic Корм сухой для кошек, с рыбой, 400 гр.",429,Ownat
1050749,"Adult Classic Корм сухой для кошек, с рыбой, 1.5 кг",1099,Ownat
1055457,"Adult Grain Free Сухой корм для взрослых кошек, с курицей и индейкой, 400 гр.",759,Ownat
1044815,"Adult Grain Free Сухой корм для взрослых кошек, с курицей и индейкой, 1 кг",1429,Ownat
1055461,"Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 400 гр.",649,Ownat
1042258,"Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 1 кг",1319,Ownat
1044812,"Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 3 кг",3189,Ownat
1055464,"Ultra Корм для кошек, с курицей и рисом, 400 гр.",619,Ownat
1040789,"Ultra Корм для кошек, с курицей и рисом, 1,5 кг",1572,Ownat
1055465,"Adult Sterilized Ultra Сухой корм для стерилизованных кошек, с индейкой, 400 гр.",629,Ownat
1042263,"Adult Sterilized Ultra Сухой корм для стерилизованных кошек, с индейкой, 1,5 кг",1899,Ownat
1056405,"Корм сухой для взрослых кошек крупных пород, с индейкой и курицей, 400 гр.",469,Mealfeel
1056406,"Корм сухой для взрослых кошек крупных пород, с индейкой и курицей, 2 кг",2099,Mealfeel
1056877,"Корм сухой для кастрированных котов и стерилизованных кошек в возрасте от 1 года до 7 лет, с курицей, 400 гр.",599,Grandin
1056878,"Sterilized Grain free Корм сухой для кастрированных котов и стерилизованных кошек в возрасте от 1 года до 7 лет, с курицей, 1,5 кг",1699,Grandin
1056879,"Sterilized Grain free Корм сухой для кастрированных котов и стерилизованных кошек в возрасте от 1 года до 7 лет, с курицей, 10 кг",8999,Grandin
1057068,"Functional Nutrition Корм сухой для стерилизованных кошек, с индейкой и уткой, 400 гр.",469,Mealfeel
1057069,"Functional Nutrition Корм сухой для стерилизованных кошек, с индейкой и уткой, 1,5 кг",1579,Mealfeel
1000007,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с лососем, 400 гр.",583,PRO PLAN®
1000002,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с лососем, 1,5 кг",1735,PRO PLAN®
1000005,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с лососем, 3 кг",3465,PRO PLAN®
1005494,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с лососем, 10 кг",9157,PRO PLAN®
1051782,"Sensible 33 Regular Сухой корм при чувствительной пищеварительной системе у кошек в возрасте от 1 года до 7 лет, 200 гр.",275,Royal Canin
1000723,"Sensible 33 Regular Сухой корм при чувствительной пищеварительной системе у кошек в возрасте от 1 года до 7 лет, 400 гр.",525,Royal Canin
1051780,"Sensible 33 Regular Сухой корм при чувствительной пищеварительной системе у кошек в возрасте от 1 года до 7 лет, 1,2 кг",1479,Royal Canin
1000714,"Sensible 33 Regular Сухой корм при чувствительной пищеварительной системе у кошек в возрасте от 1 года до 7 лет, 2 кг",2375,Royal Canin
1002559,"Sensible 33 Regular Сухой корм при чувствительной пищеварительной системе у кошек в возрасте от 1 года до 7 лет, 4 кг",4645,Royal Canin
1000711,"Sensible 33 Regular Сухой корм при чувствительной пищеварительной системе у кошек в возрасте от 1 года до 7 лет, 15 кг",15275,Royal Canin
1002781,"British Shorthair 36 Adult Сухой корм для взрослых кошек породы британская короткошерстная, 400 гр.",637,Royal Canin
1002777,"British Shorthair Adult Сухой корм для взрослых кошек породы британская короткошерстная, 2 кг",2859,Royal Canin
1003367,"British Shorthair 36 Adult Сухой корм для взрослых кошек породы британская короткошерстная, 4 кг",5545,Royal Canin
1001782,"British Shorthair 36 Adult Сухой корм для взрослых кошек породы британская короткошерстная, 10 кг",12479,Royal Canin
1051783,"Exigent 35/30 Savour Сухой корм для кошек привередливых к вкусу продукта, 200 гр.",293,Royal Canin
1000727,"Exigent 35/30 Savour Сухой корм для кошек привередливых к вкусу продукта, 400 гр.",555,Royal Canin
1000718,"Exigent 35/30 Savour Сухой корм для кошек привередливых к вкусу продукта, 2 кг",2517,Royal Canin
1001785,"Exigent 35/30 Savour Сухой корм для кошек привередливых к вкусу продукта, 4 кг",4859,Royal Canin
1000710,"Exigent 35/30 Savour Сухой корм для кошек привередливых к вкусу продукта, 10 кг",11255,Royal Canin
1003651,"Prescription Diet s/d Urinary Care Сухой диетический корм для кошек при профилактике мочекаменной болезни (мкб), с курицей, 1,5 кг",3475,Hills
1001824,"Prescription Diet s/d Urinary Care сухой корм для кошек, с курицей, 5кг",7400,Hills
1003621,"Gastrointestinal Fibre Response FR31 S/O Сухой корм для кошек при нарушениях пищеварения, 400 гр.",945,Royal Canin
1004588,"Gastrointestinal Fibre Response FR31 S/O Сухой корм для кошек при нарушениях пищеварения, 2 кг",4079,Royal Canin
1034967,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с индейкой, 3 кг",293,PRO PLAN®
1000008,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с индейкой, 400 гр.",519,PRO PLAN®
1000001,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с индейкой, 1,5 кг",1735,PRO PLAN®
1041511,"Промопак: Сухой корм для взрослых стерилизованных кошек и кастрированных котов, с высоким содержанием индейки, 1.5 кг + Nutrisavour влажный корм, с курицей в соусе, 2 х 85 г + Nutrisavour влажный корм, вкусные кусочки с индейкой в желе, 85 г",1945,PRO PLAN®
1000004,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с индейкой, 200 гр.",3465,PRO PLAN®
1005495,"Sterilised Adult Renal Plus Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов, с индейкой, 10 кг",9149,PRO PLAN®
1034968,"Sterilised Adult Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов старше 1 года, с кроликом, 200 гр.",293,PRO PLAN®
1003946,"Sterilised Adult Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов старше 1 года, с кроликом, 400 гр.",519,PRO PLAN®
1004621,"Sterilised Adult Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов старше 1 года, с кроликом, 1,5 кг",1735,PRO PLAN®
1004625,"Sterilised Adult Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов старше 1 года, с кроликом, 3 кг",3465,PRO PLAN®
1035907,"Sterilised Adult Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов старше 1 года, с кроликом, 3 кг",2945,PRO PLAN®
1005688,"Sterilised Adult Сухой корм для поддержания здоровья почек у стерилизованных кошек и кастрированных котов старше 1 года, с кроликом, 10 кг",10245,PRO PLAN®
1034969,"Delicate Сухой корм для взрослых кошек с чувствительным пищеварением, с индейкой, 200 гр.",247,PRO PLAN®
1000010,"Delicate Сухой корм для взрослых кошек с чувствительным пищеварением, с индейкой, 400 гр.",583,PRO PLAN®
1004622,"Delicate Сухой корм для взрослых кошек с чувствительным пищеварением, с индейкой, 1,5 кг",1735,PRO PLAN®
1000006,"Delicate Сухой корм для взрослых кошек с чувствительным пищеварением, с индейкой, 3 кг",3799,PRO PLAN®
1005493,"Delicate Сухой корм для взрослых кошек с чувствительным пищеварением, с индейкой, 10 кг",10245,PRO PLAN®
1000920,"Prescription Diet c/d Multicare Urinary Care Сухой диетический корм при профилактике мочекаменной болезни (мкб) у кошек, с курицей, 400 гр.",979,Hills
1003672,"Prescription Diet c/d Multicare Urinary Care Сухой диетический корм при профилактике мочекаменной болезни (мкб) у кошек, с курицей, 1,5 кг",3455,Hills
1018967,"Prescription Diet c/d Multicare Urinary Care Сухой диетический корм при профилактике мочекаменной болезни (мкб) у кошек, с курицей, 5 кг",6999,Hills
1000924,"Prescription Diet c/d Multicare Urinary Care Сухой диетический корм при профилактике мочекаменной болезни (мкб) у кошек, с курицей, 10 кг",13600,Hills
1022775,"Science Plan Сухой корм для взрослых стерилизованных кошек старше 7 лет, с курицей, 300 гр.",579,Hills
1000110,"Science Plan Сухой корм для взрослых стерилизованных кошек старше 7 лет, с курицей, 1,5 кг",2239,Hills
1037144,"Science Plan Сухой корм для взрослых стерилизованных кошек старше 7 лет, с курицей, 3 кг",5113,Hills
1016697,"Sterilised Senior Сухой корм для пожилых стерилизованных кошек и кастрированных котов старше 7 лет, с индейкой, 400 гр.",519,PRO PLAN®
1016698,"Sterilised Senior Сухой корм для пожилых стерилизованных кошек и кастрированных котов старше 7 лет, с индейкой, 1,5 кг",1717,PRO PLAN®
1018906,"Sterilised Senior Сухой корм для пожилых стерилизованных кошек и кастрированных котов старше 7 лет, с индейкой, 3 кг",3879,PRO PLAN®
1026752,"Sterilised Senior Сухой корм для пожилых стерилизованных кошек и кастрированных котов старше 7 лет, с индейкой, 10 кг",10255,PRO PLAN®
1030234,"Sterilised Сухой корм для взрослых стерилизованных кошек и кастрированных котов с чувствительным пищеварением, с курицей, 400 гр.",629,PRO PLAN®
1030236,"Sterilised Сухой корм для взрослых стерилизованных кошек и кастрированных котов с чувствительным пищеварением, с курицей, 1,5 кг",1915,PRO PLAN®
1030237,"Sterilised Сухой корм для взрослых стерилизованных кошек и кастрированных котов с чувствительным пищеварением, с курицей, 3 кг",4193,PRO PLAN®
1030238,"Sterilised Сухой корм для взрослых стерилизованных кошек и кастрированных котов с чувствительным пищеварением, с курицей, 10 кг",11735,PRO PLAN®
1046804,"Neutered Satiety Balance Сухой корм для стерилизованных кошек и кастрированных котов, 300 гр.",499,Royal Canin
1030525,"Neutered Satiety Balance Сухой корм для стерилизованных кошек и кастрированных котов, 400 гр.",435,Royal Canin
1030526,"Neutered Satiety Balance Сухой корм для стерилизованных кошек и кастрированных котов, 1,5 кг",2309,Royal Canin
1044736,"Neutered Satiety Balance Сухой корм для стерилизованных кошек и кастрированных котов, 3,5 кг",4999,Royal Canin
1030527,"Neutered Satiety Balance Сухой корм для стерилизованных кошек и кастрированных котов, 8 кг",10925,Royal Canin
1039529,корм для стерилизованных кошек с форелью,10329,Monge
1039530,корм для стерилизованных кошек с уткой,10329,Monge
1043129,"N&D Prime Сухой корм для котят, с курицей и гранатом, 300 гр.",1023,Farmina
1043130,"N&D PRIME сухой корм для котят, с курицей и гранатом, 1,5кг",4065,Farmina
1043131,N&D PRIME CAT CHICKEN & POMEGRANATE KITTEN 5KG,6679,Farmina
1043132,N&D PRIME CAT CHICKEN & POMEGRANATE KITTEN 10KG,11325,Farmina
1043133,"N&D PRIME сухой корм для кошек, с курицей и гранатом, 300г",939,Farmina
1043134,"N&D PRIME сухой корм для кошек, с курицей и гранатом, 1,5кг",3695,Farmina
1043135,N&D PRIME CAT CHICKEN & POMEGRANATE ADULT 5KG,6227,Farmina
1043136,N&D PRIME CAT CHICKEN & POMEGRANATE ADULT 10KG,10589,Farmina
1043137,"N&D PRIME сухой корм для кошек, с кабаном и яблоком, 300г",939,Farmina
1043138,"N&D PRIME сухой корм для кошек, с кабаном и яблоком, 1,5кг",3695,Farmina
1043139,N&D PRIME CAT WILD BOAR & APPLE ADULT 5KG,6227,Farmina
1043140,N&D PRIME CAT WILD BOAR & APPLE ADULT 10KG,10589,Farmina
1043169,"Vet Life Renal диетический сухой корм для кошек при почечной недостаточности, с курицей, 400г",1079,Farmina
1043179,"Vet Life Renal диетический сухой корм для кошек при почечной недостаточности, с курицей, 2кг",4335,Farmina
1046538,"Vet Life Cat Renal диетический сухой корм для кошек при  почечной недостаточности с курицей, 5 кг",5999,Farmina
1043170,"Vet Life Struvite диетический сухой корм для кошек при мочекаменной болезни, 400г",1079,Farmina
1043180,"Vet Life Struvite диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",4335,Farmina
1043175,"Vet Life Struvite Management диетический сухой корм для кошек при мочекаменной болезни, с курицей, 400г",1079,Farmina
1043182,"Vet Life Struvite Management диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",4335,Farmina
1046534,"Vet Life Cat Struvite Management диетический сухой корм для кошек приМКБ с курицей, 5 кг",5999,Farmina
1043176,"Vet Life UltraHypo диетический сухой корм для кошек, гипоаллергенный, с рыбой, 400г",1255,Farmina
1043183,"Vet Life UltraHypo диетический сухой корм для кошек, гипоаллергенный, с рыбой, 2кг",4849,Farmina
1046540,"Vet Life Cat UltraHypo диетический сухой корм для кошек гипоаллергенный с рыбой, 5 кг",6909,Farmina
1048953,"Sterilised Сухой корм для стерилизованных кошек с индейкой, 1,5 кг + 400г",1945,PRO PLAN®
1053530,"Adult Care Renal Сухой корм для взрослых кошек с хронической почечной недостаточностью, с курицей, 1,5 кг",1979,Ownat
1053531,"Adult Care Renal Сухой корм для взрослых кошек с хронической почечной недостаточностью, с курицей, 3 кг",3299,Ownat
1053735,"WOW Сухой корм для стерилизованных кошек с индейкой, 350 г",267,AlphaPet
1053736,"WOW Сухой корм для стерилизованных кошек с индейкой, 1,5 кг",855,AlphaPet
1053776,"Сухой корм для стерилизованных кошек с ягненком и индейкой, 400 г",517,AlphaPet
1053741,"Сухой корм для стерилизованных кошек с ягненком и индейкой, 1,5 кг",1565,AlphaPet
1053763,"Корм сухой для стерилизованных кошек, с индейкой и курицей, 400 гр.",299,Sirius
1053757,"Корм сухой для стерилизованных кошек, с индейкой и курицей, 1,5 кг",1015,Sirius
1054020,"Adult Sterilized Luxury Hairball сухой корм для стерилизованных кошек с ягненком, 300 гр",379,UNICA
1054021,"Adult Sterilized Luxury Hairball сухой корм для стерилизованных кошек с ягненком, 1,5 кг",1279,UNICA
1056199,"Adult Sterilized Luxury Hairball сухой корм для стерилизованных кошек с ягненком, 10 кг",5999,UNICA
1054517,"Adult Salmon Корм сухой для кошек, с лососем, 400 гр.",349,Wellkiss
1054518,"Adult Salmon Корм сухой для кошек, с лососем, 1,5 кг",1029,Wellkiss
1054519,"Kitten Delicate Корм сухой для котят с чувствительным пищеварением, с индейкой, 400 гр.",349,Wellkiss
1054520,"Kitten Delicate Корм сухой для котят с чувствительным пищеварением, с индейкой, 1,5 кг",1029,Wellkiss
1054524,"Senior Sterilized Корм сухой для кошек старше 7 лет, с индейкой, 400 гр.",349,Wellkiss
1054525,"Senior Sterilized Корм сухой для кошек старше 7 лет, с индейкой, 1,5 кг",1029,Wellkiss
1054704,"Корм сухой для кошек старше 7 лет, с курицей и индейкой, 400 гр.",469,Mealfeel
1054705,"Корм сухой для кошек старше 7 лет, с курицей и индейкой, 1,5 кг",1579,Mealfeel
1055460,"Adult Chicken Корм сухой беззерновой для кошек, с курицей, 400 гр.",599,Ownat
1040786,"Adult Chicken Корм сухой беззерновой для кошек, с курицей, 1 кг",1319,Ownat
1056875,"Kitten Сухой корм для котят, беременных и кормящих кошек, 400 гр.",689,Grandin
1056876,"Kitten Сухой корм для котят, беременных и кормящих кошек, 1,5 кг",1799,Grandin
1057070,"Functional Nutrition Корм сухой для стерилизованных кошек старше 7 лет, с сельдью и лососем, 400 гр.",469,Mealfeel
1057071,"Functional Nutrition Корм сухой для стерилизованных кошек старше 7 лет, с сельдью и лососем, 1,5 кг",1579,Mealfeel
